survey,last3letters,var_names,n_waves,which_waves,n_different_var_label,var_label_across_waves,n_different_value_labels,value_labels_across_waves,n_different_var_type,var_type_across_waves
Economic Situation Housing,073,cd08a073; cd09b073; cd10c073; cd11d073; cd12e073; cd13f073; cd14g073; cd15h073; cd16i073; cd17j073; cd18k073; cd19l073; cd20m073,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Was it difficult to answer the questions?,2,"c(`certainly not` = 1, `2` = 2, `3` = 3, `4` = 4, `certainly yes` = 5) -- AND -- c(`1 = certainly not` = 1, `5 = certainly yes` = 5)",1,categorical
Economic Situation Housing,074,cd08a074; cd09b074; cd10c074; cd11d074; cd12e074; cd13f074; cd14g074; cd15h074; cd16i074; cd17j074; cd18k074; cd19l074; cd20m074,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Were the questions sufficiently clear?,2,"c(`certainly not` = 1, `2` = 2, `3` = 3, `4` = 4, `certainly yes` = 5) -- AND -- c(`1 = certainly not` = 1, `5 = certainly yes` = 5)",1,categorical
Economic Situation Housing,075,cd08a075; cd09b075; cd10c075; cd11d075; cd12e075; cd13f075; cd14g075; cd15h075; cd16i075; cd17j075; cd18k075; cd19l075; cd20m075,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Did the questionnaire get you thinking about things?,2,"c(`certainly not` = 1, `2` = 2, `3` = 3, `4` = 4, `certainly yes` = 5) -- AND -- c(`1 = certainly not` = 1, `5 = certainly yes` = 5)",1,categorical
Economic Situation Housing,076,cd08a076; cd09b076; cd10c076; cd11d076; cd12e076; cd13f076; cd14g076; cd15h076; cd16i076; cd17j076; cd18k076; cd19l076; cd20m076,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Was it an interesting subject?,2,"c(`certainly not` = 1, `2` = 2, `3` = 3, `4` = 4, `certainly yes` = 5) -- AND -- c(`1 = certainly not` = 1, `5 = certainly yes` = 5)",1,categorical
Economic Situation Housing,077,cd08a077; cd09b077; cd10c077; cd11d077; cd12e077; cd13f077; cd14g077; cd15h077; cd16i077; cd17j077; cd18k077; cd19l077; cd20m077,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Did you enjoy answering the questions?,2,"c(`certainly not` = 1, `2` = 2, `3` = 3, `4` = 4, `certainly yes` = 5) -- AND -- c(`1 = certainly not` = 1, `5 = certainly yes` = 5)",1,categorical
Economic Situation Housing,078,cd08a078; cd09b078; cd10c078; cd11d078; cd12e078; cd13f078; cd14g078; cd15h078; cd16i078; cd17j078; cd18k078; cd19l078; cd20m078,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Starting date of the questionnaire,1,NULL,1,date or time
Economic Situation Housing,079,cd08a079; cd09b079; cd10c079; cd11d079; cd12e079; cd13f079; cd14g079; cd15h079; cd16i079; cd17j079; cd18k079; cd19l079; cd20m079,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Starting time of the questionnaire,1,NULL,1,date or time
Economic Situation Housing,080,cd08a080; cd09b080; cd10c080; cd11d080; cd12e080; cd13f080; cd14g080; cd15h080; cd16i080; cd17j080; cd18k080; cd19l080; cd20m080,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,End date of the questionnaire,1,NULL,1,date or time
Economic Situation Housing,081,cd08a081; cd09b081; cd10c081; cd11d081; cd12e081; cd13f081; cd14g081; cd15h081; cd16i081; cd17j081; cd18k081; cd19l081; cd20m081,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,End time of the questionnaire,1,NULL,1,date or time
Economic Situation Housing,082,cd08a082; cd09b082; cd10c082; cd11d082; cd12e082; cd13f082; cd14g082; cd15h082; cd16i082; cd17j082; cd18k082; cd19l082; cd20m082,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Duration in seconds,1,NULL,1,numeric
Economic Situation Housing,083,cd09b083; cd10c083; cd11d083; cd12e083; cd13f083; cd14g083; cd15h083; cd16i083; cd17j083; cd18k083; cd19l083; cd20m083,12,"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",11,"What amount was the remaining debt of your mortgage(s) or loan(s) at December, 31 2008? -- AND -- What amount was the remaining debt of your mortgage(s) or loan(s) at December, 31 2009? -- AND -- What amount was the remaining debt of your mortgage(s) or loan(s) at December, 31 2010? -- AND -- What amount was the remaining debt of your mortgage(s) or loan(s) at December, 31 2011? -- AND -- What amount was the remaining debt of your mortgage(s) or loan(s) at December, 31 2012? -- AND -- What amount was the remaining debt of your mortgage(s) or loan(s) at December, 31 2013? -- AND -- What amount was the remaining debt of your mortgage(s) or loan(s) at December, 31 2014? -- AND -- What amount was the remaining debt of your mortgage(s) or loan(s) at December, 31 2016? -- AND -- What amount was the remaining debt of your mortgage(s) or loan(s) at December, 31 2017? -- AND -- What amount was the remaining debt of your mortgage(s) or loan(s) at December, 31 2018? -- AND -- What amount was the remaining debt of your mortgage(s) or loan(s) at December, 31 2019?",2,"NULL -- AND -- c(`I prefer not to say` = 9999999998, `I don't know` = 9999999999)",2,numeric -- AND -- categorical
Economic Situation Housing,084,cd09b084; cd10c084; cd11d084; cd12e084; cd13f084; cd14g084; cd15h084; cd16i084; cd17j084; cd18k084; cd19l084; cd20m084,12,"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,"Does the indicated rent amount include costs for water, electricity, gas, heating or other service costs?",1,"c(yes = 1, no = 2)",1,categorical
Economic Situation Housing,085,cd09b085; cd10c085; cd11d085; cd12e085; cd13f085; cd14g085; cd15h085; cd16i085; cd17j085; cd18k085; cd19l085; cd20m085,12,"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,"How much are the total costs for water, electricity, gas, heating or other service costs?",2,"NULL -- AND -- c(`I prefer not to say` = 9999999998, `I don't know` = 9999999999)",2,numeric -- AND -- categorical
Economic Situation Housing,086,cd11d086; cd12e086; cd13f086,3,"2011, 2012, 2013",1,Do you receive (through the Tax Administration) any rent benefit or do you have rent benefits paid out directly to the lessor of the property (e.g. the housing corporation)?,1,"c(`yes, I receive rent benefit myself` = 1, `yes, the rent benefit is directly paid out to the lessor` = 2, no = 3, `I prefer not to say` = 98)",1,categorical
Economic Situation Housing,087,cd11d087; cd12e087; cd13f087,3,"2011, 2012, 2013",1,When indicating the rent did you include the rent benefit or did you indicate the amount you have to pay after the rent benefit is deducted from the rent?,1,"c(`the rent benefit is included in the indicated rent` = 1, `the indicated rent is the amount I pay after deduction of the rent benefit` = 2, `I don't know` = 99)",1,categorical
Economic Situation Housing,088,cd14g088; cd15h088; cd16i088; cd17j088; cd18k088; cd19l088; cd20m088,7,"2014, 2015, 2016, 2017, 2018, 2019, 2020",2,Do you receive (through the Tax Administration) any rent benefit or do you have rent benefits paid out directly to the lessor of the property (e.g. the housing corporation)? -- AND -- Do you receive (through the Tax Administration) any rent benefit?,3,"c(`yes, I receive rent benefit` = 1, `no, I don’t receive rent benefit` = 2, `I prefer not to say` = 98) -- AND -- c(`yes, I receive rent benefit` = 1, `no, I don't receive rent benefit` = 2, `I prefer not to say` = 98) -- AND -- c(`I don't know` = -9, `I prefer not to say` = -8, `yes, I receive rent benefit` = 1, `no, I don't receive rent benefit` = 2, `respondent mistakenly did not receive the question` = 3)",1,categorical
Economic Situation Housing,089,cd19l089; cd20m089,2,"2019, 2020",1,Does your dwelling have one or more of the following problems? - the dwelling is too large,1,"c(no = 0, yes = 1)",1,categorical
Economic Situation Housing,090,cd19l090; cd20m090,2,"2019, 2020",1,Are you ever confronted with the problems listed below in your home environment? - noise annoyance caused by air traffic,1,"c(no = 0, yes = 1)",1,categorical
Economic Situation Housing,091,cd19l091; cd20m091,2,"2019, 2020",1,Please indicate on a scale from 0 to 10 how satisfied you are with the dwelling that you currently inhabit.,1,"c(`I don't know` = -9, `0 not at all satisfied` = 0, `1` = 1, `2` = 2, `3` = 3, `4` = 4, `5` = 5, `6` = 6, `7` = 7, `8` = 8, `9` = 9, `10 very satisfied` = 10)",1,categorical
Economic Situation Housing,092,cd19l092; cd20m092,2,"2019, 2020",1,Can you indicate on a scale from 0 to 10 how satisfied you are with the vicinity of your current dwelling?,1,"c(`I don't know` = -9, `0 not at all satisfied` = 0, `1` = 1, `2` = 2, `3` = 3, `4` = 4, `5` = 5, `6` = 6, `7` = 7, `8` = 8, `9` = 9, `10 very satisfied` = 10)",1,categorical
Economic Situation Housing,093,cd19l093; cd20m093,2,"2019, 2020",1,Do you pay rent (or compensation) per:,1,"c(month = 1, quarter = 2, `half year` = 3, year = 4, week = 5, `two weeks` = 6, `four weeks` = 7)",1,categorical
Economic Situation Housing,094,cd19l094; cd20m094,2,"2019, 2020",1,Per what period do you pay service costs or an amount to an association of owners?,1,"c(`per month` = 1, `per quarter` = 2, `per half year` = 3, `per year` = 4, week = 5, `two weeks` = 6, `four weeks` = 7)",1,categorical
Economic Situation Housing,095,cd19l095; cd20m095,2,"2019, 2020",1,Do you pay the rent for this second dwelling per:,1,"c(month = 1, quarter = 2, `half year` = 3, year = 4, week = 5, `two weeks` = 6, `four weeks` = 7, `I don't pay rent for this second dwelling` = 8)",1,categorical
Economic Situation Housing,096,cd19l096; cd20m096,2,"2019, 2020",1,Per what period do you pay service costs or an amount for your second dwelling to an association of owners?,1,"c(month = 1, quarter = 2, `half year` = 3, year = 4, week = 5, `two weeks` = 6, `four weeks` = 7)",1,categorical
All surveys,    nomem_encr,nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr; nomem_encr,13,"",1,Number of household member encrypted,1,NULL,1,numeric
Economic Situation Income,  *****_m,ci08a_m; ci09b_m; ci10c_m; ci11d_m; ci12e_m; ci13f_m; ci14g_m; ci15h_m; ci16i_m; ci17j_m; ci18k_m; ci19l_m; ci20m_m,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Year and month of the field work period,1,NULL,1,numeric
Economic Situation Income,001,ci08a001; ci09b001; ci10c001; ci11d001; ci12e001; ci13f001; ci14g001; ci15h001; ci16i001; ci17j001; ci18k001; ci19l001; ci20m001,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Position in the household,3,"c(`Household head*` = 1, `Wedded partner` = 2, `Unwedded partner` = 3, `Parent (in law)` = 4, `Child living at home` = 5, Housemate = 6, `Family member or boarder` = 7, unknown = 9999) -- AND -- c(`Household head*` = 1, `Wedded partner` = 2, `Unwedded partner` = 3, `Parent (in law)` = 4, `Child living at home` = 5, Housemate = 6, `Family member or boarder` = 7, unknown = 9) -- AND -- c(`Household head` = 1, `Wedded partner` = 2, `Unwedded partner` = 3, `Parent (in law)` = 4, `Child living at home` = 5, Housemate = 6, `Family member or boarder` = 7, unknown = 9)",1,categorical
Economic Situation Income,002,ci08a002; ci09b002; ci10c002; ci11d002; ci12e002; ci13f002; ci14g002; ci15h002; ci16i002; ci17j002; ci18k002; ci19l002; ci20m002,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,Age respondent,1,NULL,1,numeric
Economic Situation Income,003,ci08a003; ci09b003; ci10c003; ci11d003; ci12e003; ci13f003; ci14g003; ci15h003; ci16i003; ci17j003; ci18k003; ci19l003; ci20m003,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,The household head lives together with a partner (wedded or unwedded).,1,"c(no = 0, yes = 1)",1,categorical
Economic Situation Income,004,ci08a004; ci09b004; ci10c004; ci11d004; ci12e004; ci13f004; ci14g004; ci15h004; ci16i004; ci17j004; ci18k004,11,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",3,"work: respondent works, according to household box -- AND -- respondent works, according to household box -- AND -- Respondent works, according to household box",1,"c(`no, does not work` = 0, `yes, works` = 1)",1,categorical
Economic Situation Income,005,ci08a005; ci09b005; ci10c005; ci11d005; ci12e005; ci13f005; ci14g005; ci15h005; ci16i005; ci17j005; ci18k005; ci19l005; ci20m005,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",2,"If you imagine a ‘ladder of life’, where the first step represents the worst possible life, and the tenth (top) step the best possible life, on what step would you place yourself? -- AND -- If you imagine a 'ladder of life', where the first step represents the worst possible life, and the tenth (top) step the best possible life, on what step would you place yourself?",3,"NULL -- AND -- c(`0` = 1, `1` = 2, `2` = 3, `3` = 4, `4` = 5, `5` = 6, `6` = 7, `7` = 8, `8` = 9, `9` = 10, `10` = 11) -- AND -- c(`0` = 0, `1` = 1, `2` = 2, `3` = 3, `4` = 4, `5` = 5, `6` = 6, `7` = 7, `8` = 8, `9` = 9, `10` = 10)",2,numeric -- AND -- categorical
Economic Situation Income,006,ci08a006; ci09b006; ci10c006; ci11d006; ci12e006; ci13f006; ci14g006; ci15h006; ci16i006; ci17j006; ci18k006; ci19l006; ci20m006,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,How satisfied are you with your financial situation?,3,"c(`not at all satisfied` = 0, `1` = 1, `2` = 2, `3` = 3, `4` = 4, `5` = 5, `6` = 6, `7` = 7, `8` = 8, `9` = 9, `entirely satisfied` = 10, `I don’t know` = 999) -- AND -- c(`not at all satisfied` = 0, `1` = 1, `2` = 2, `3` = 3, `4` = 4, `5` = 5, `6` = 6, `7` = 7, `8` = 8, `9` = 9, `entirely satisfied` = 10, `I don't know` = 999) -- AND -- c(`I don't know` = -9, `0 not at all satisfied` = 0, `1` = 1, `2` = 2, `3` = 3, `4` = 4, `5` = 5, `6` = 6, `7` = 7, `8` = 8, `9` = 9, `10 entirely satisfied` = 10)",1,categorical
Economic Situation Income,007,ci08a007; ci09b007; ci10c007; ci11d007; ci12e007; ci13f007; ci14g007; ci15h007; ci16i007; ci17j007; ci18k007; ci19l007; ci20m007,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",1,How satisfied are you with the current economic situation in the Netherlands?,3,"c(`not at all satisfied` = 0, `1` = 1, `2` = 2, `3` = 3, `4` = 4, `5` = 5, `6` = 6, `7` = 7, `8` = 8, `9` = 9, `entirely satisfied` = 10, `I don’t know` = 999) -- AND -- c(`not at all satisfied` = 0, `1` = 1, `2` = 2, `3` = 3, `4` = 4, `5` = 5, `6` = 6, `7` = 7, `8` = 8, `9` = 9, `entirely satisfied` = 10, `I don't know` = 999) -- AND -- c(`I don't know` = -9, `0 not at all satisfied` = 0, `1` = 1, `2` = 2, `3` = 3, `4` = 4, `5` = 5, `6` = 6, `7` = 7, `8` = 8, `9` = 9, `10 entirely satisfied` = 10)",1,categorical
Economic Situation Income,008,ci08a008; ci09b008; ci10c008; ci11d008; ci12e008; ci13f008; ci14g008; ci15h008; ci16i008; ci17j008; ci18k008; ci19l008; ci20m008,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",13,Did you receive income as employee in 2007?Note: this only concerns income received through paid work in employment. -- AND -- Did you receive income as employee in 2008?Note: this only concerns income received through paid work in employment. -- AND -- Did you receive income as employee in 2009?Note: this only concerns income received through paid work in employment. -- AND -- Did you receive income as employee in 2010?Note: this only concerns income received through paid work in employment. -- AND -- Did you receive income as employee in 2011? Note: this only concerns income received through paid work in employment. -- AND -- Did you receive income as employee in 2012? Note: this only concerns income received through paid work in employment. -- AND -- Did you receive income as employee in 2013? Note: this only concerns income received through paid work in employment. -- AND -- Did you receive income as employee in 2014? Note: this only concerns income received through paid work in employment. -- AND -- Did you receive income as employee in 2015? Note: this only concerns income received through paid work in employment. -- AND -- Did you receive income as employee in 2016? Note: this only concerns income received through paid work in employment. -- AND -- Did you receive income as employee in 2017? Note: this only concerns income received through paid work in employment. -- AND -- Did you receive income as employee in 2018? Note: this only concerns income received through paid work in employment. -- AND -- Did you receive income as employee in 2019? Note: this only concerns income received through paid work in employment.,1,"c(yes = 1, no = 2)",1,categorical
Economic Situation Income,009,ci08a009; ci09b009; ci10c009; ci11d009; ci12e009; ci13f009; ci14g009; ci15h009; ci16i009; ci17j009; ci18k009; ci19l009; ci20m009,13,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",13,How many employers have you had (as employee) in 2007? -- AND -- How many employers have you had (as employee) in 2008? -- AND -- How many employers have you had (as employee) in 2009? -- AND -- How many employers have you had (as employee) in 2010? -- AND -- How many employers have you had (as employee) in 2011? -- AND -- How many employers have you had (as employee) in 2012? -- AND -- How many employers have you had (as employee) in 2013? -- AND -- How many employers have you had (as employee) in 2014? -- AND -- How many employers have you had (as employee) in 2015? -- AND -- How many employers have you had (as employee) in 2016? -- AND -- How many employers have you had (as employee) in 2017? -- AND -- How many employers have you had (as employee) in 2018? -- AND -- How many employers have you had (as employee) in 2019?,1,NULL,1,numeric
Economic Situation Income,010,ci08a010; ci09b010; ci10c010; ci11d010; ci12e010; ci13f010; ci14g010; ci15h010; ci16i010; ci17j010; ci18k010,11,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",11,How much were your gross wages in total in 2007 at your employer (/at the employer where you earned most in 2007/ (hereafter referred to as employer 1))? -- AND -- How much were your gross wages in total in 2008 [at your employer /at the employer where you earned most in 2008 (hereafter referred to as employer 1)]? -- AND -- How much were your gross wages in total in 2009 [at your employer /at the employer where you earned most in 2009 (hereafter referred to as employer 1)]? -- AND -- How much were your gross wages in total in 2010 [at your employer /at the employer where you earned most in 2010 (hereafter referred to as employer 1)]? -- AND -- How much were your gross wages in total in 2011 [at your employer /at the employer where you earned most in 2011 (hereafter referred to as employer 1)]? -- AND -- How much were your gross wages in total in 2012 [at your employer /at the employer where you earned most in 2012 (hereafter referred to as employer 1)]? -- AND -- How much were your gross wages in total in 2013 [at your employer /at the employer where you earned most in 2013 (hereafter referred to as employer 1)]? -- AND -- How much were your gross wages in total in 2014 [at your employer /at the employer where you earned most in 2014 (hereafter referred to as employer 1)]? -- AND -- How much were your gross wages in total in 2015 [at your employer /at the employer where you earned most in 2015 (hereafter referred to as employer 1)]? -- AND -- How much were your gross wages in total in 2016 [at your employer /at the employer where you earned most in 2016 (hereafter referred to as employer 1)]? -- AND -- How much were your gross wages in total in 2017 [at your employer /at the employer where you earned most in 2017 (hereafter referred to as employer 1)]?,1,NULL,1,numeric
Economic Situation Income,011,ci08a011; ci09b011; ci10c011; ci11d011; ci12e011; ci13f011; ci14g011; ci15h011; ci16i011; ci17j011; ci18k011,11,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",11,"Can you indicate, then, to what category your total gross wages belonged in 2007 at (/employer 1)?This concerns the total amount of wages earned over the whole year. -- AND -- Can you indicate, then, to what category your total gross wages belonged in 2008 at employer 1?This concerns the total amount of wages earned over the whole year. -- AND -- Can you indicate, then, to what category your total gross wages belonged in 2009 at employer 1?This concerns the total amount of wages earned over the whole year. -- AND -- Can you indicate, then, to what category your total gross wages belonged in 2010 at employer 1?This concerns the total amount of wages earned over the whole year. -- AND -- Can you indicate, then, to what category your total gross wages belonged in 2011 at employer 1? This concerns the total amount of wages earned over the whole year. -- AND -- Can you indicate, then, to what category your total gross wages belonged in 2012 at employer 1? This concerns the total amount of wages earned over the whole year. -- AND -- Can you indicate, then, to what category your total gross wages belonged in 2013 at employer 1? This concerns the total amount of wages earned over the whole year. -- AND -- Can you indicate, then, to what category your total gross wages belonged in 2014 at employer 1? This concerns the total amount of wages earned over the whole year. -- AND -- Can you indicate, then, to what category your total gross wages belonged in 2015 at employer 1? -- AND -- Can you indicate, then, to what category your total gross wages belonged in 2016 at employer 1? -- AND -- Can you indicate, then, to what category your total gross wages belonged in 2017 at employer 1?",3,"c(`less than 8,000 euros` = 1, `8,000-16,000 euros` = 2, `16,000-24,000 euros` = 3, `24,000-36,000 euros` = 4, `36,000-48,000 euros` = 5, `48,000-60,000 euros` = 6, `60,000 euros or more` = 7, `I don’t know` = 99) -- AND -- c(`less than 8,000 euros` = 1, `8,000-16,000 euros` = 2, `16,000-24,000 euros` = 3, `24,000-36,000 euros` = 4, `36,000-48,000 euros` = 5, `48,000-60,000 euros` = 6, `60,000 euros or more` = 7, `I prefer not to say` = 98, `I don’t know` = 99) -- AND -- c(`less than 8,000 euros` = 1, `8,000-16,000 euros` = 2, `16,000-24,000 euros` = 3, `24,000-36,000 euros` = 4, `36,000-48,000 euros` = 5, `48,000-60,000 euros` = 6, `60,000 euros or more` = 7, `I prefer not to say` = 98, `I don't know` = 99)",1,categorical
Economic Situation Income,012,ci08a012; ci09b012; ci10c012; ci11d012; ci12e012; ci13f012; ci14g012; ci15h012; ci16i012; ci17j012; ci18k012,11,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",11,"Can you indicate the net amount of wages that you received in 2007 at (/employer 1)?This again concerns the total amount of wages received over the whole year, including holiday allowance, 13th month and profit sharing schemes. -- AND -- Can you indicate the net amount of wages that you received in 2008 at employer 1?This again concerns the total amount of wages received over the whole year, including holiday allowance, 13th month and profit sharing schemes. -- AND -- Can you indicate the net amount of wages that you received in 2009 at employer 1?This again concerns the total amount of wages received over the whole year, including holiday allowance, 13th month and profit sharing schemes. -- AND -- Can you indicate the net amount of wages that you received in 2010 at employer 1?This again concerns the total amount of wages received over the whole year, including holiday allowance, 13th month and profit sharing schemes. -- AND -- Can you indicate the net amount of wages that you received in 2011 at employer 1? This again concerns the total amount of wages received over the whole year, including holiday allowance, 13th month and profit sharing schemes. -- AND -- Can you indicate the net amount of wages that you received in 2012 at employer 1? This again concerns the total amount of wages received over the whole year, including holiday allowance, 13th month and profit sharing schemes. -- AND -- Can you indicate the net amount of wages that you received in 2013 at employer 1? This again concerns the total amount of wages received over the whole year, including holiday allowance, 13th month and profit sharing schemes. -- AND -- Can you indicate the net amount of wages that you received in 2014 at employer 1? This again concerns the total amount of wages received over the whole year, including holiday allowance, 13th month and profit sharing schemes and excluding travel allowance. -- AND -- Can you indicate the net amount of wages that you received in 2015 at employer 1? -- AND -- Can you indicate the net amount of wages that you received in 2016 at employer 1? -- AND -- Can you indicate the net amount of wages that you received in 2017 at employer 1?",1,NULL,1,numeric
Economic Situation Income,013,ci08a013; ci09b013; ci10c013; ci11d013; ci12e013; ci13f013; ci14g013; ci15h013; ci16i013; ci17j013; ci18k013,11,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",4,What source did you use to complete the details concerning your salary at your employer (/employer 1)? - tax form -- AND -- What source did you use to complete the details concerning your salary at employer 1? - tax form -- AND -- What source did you use to complete the details concerning your gross salary at your employer (/employer 1)? - tax form -- AND -- What source did you use to complete the details concerning your gross salary at your employer (employer 1)? - tax form,1,"c(no = 0, yes = 1)",1,categorical
Economic Situation Income,014,ci08a014; ci09b014; ci10c014; ci11d014; ci12e014; ci13f014; ci14g014; ci15h014; ci16i014; ci17j014; ci18k014,11,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",5,What source did you use to complete the details concerning your salary at your employer (/employer 1)? - employer’s tax reporting statement -- AND -- What source did you use to complete the details concerning your salary at employer 1? - employer’s tax reporting statement -- AND -- What source did you use to complete the details concerning your salary at employer 1? - employer's tax reporting statement -- AND -- What source did you use to complete the details concerning your gross salary at your employer (/employer 1)? - employer's tax reporting statement -- AND -- What source did you use to complete the details concerning your gross salary at your employer (employer 1)? - employer's tax reporting statement,1,"c(no = 0, yes = 1)",1,categorical
Economic Situation Income,015,ci08a015; ci09b015; ci10c015; ci11d015; ci12e015; ci13f015; ci14g015; ci15h015; ci16i015; ci17j015; ci18k015,11,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",4,What source did you use to complete the details concerning your salary at at your employer (/employer 1)? - salary slip -- AND -- What source did you use to complete the details concerning your salary at employer 1? - salary slip -- AND -- What source did you use to complete the details concerning your gross salary at your employer (/employer 1)? - salary slip -- AND -- What source did you use to complete the details concerning your gross salary at your employer (employer 1)? - salary slip,1,"c(no = 0, yes = 1)",1,categorical
Economic Situation Income,016,ci08a016; ci09b016; ci10c016; ci11d016; ci12e016; ci13f016; ci14g016; ci15h016; ci16i016; ci17j016; ci18k016,11,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",4,What source did you use to complete the details concerning your salary at at your employer (/employer 1)? - other -- AND -- What source did you use to complete the details concerning your salary at employer 1? - other -- AND -- What source did you use to complete the details concerning your gross salary at your employer (/employer 1)? - other -- AND -- What source did you use to complete the details concerning your gross salary at your employer (employer 1)? - other,1,"c(no = 0, yes = 1)",1,categorical
Economic Situation Income,017,ci08a017; ci09b017; ci10c017; ci11d017; ci12e017; ci13f017; ci14g017; ci15h017; ci16i017; ci17j017; ci18k017,11,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",4,What source did you use to complete the details concerning your salary at at your employer (/employer 1)? - none -- AND -- What source did you use to complete the details concerning your salary at employer 1? - none -- AND -- What source did you use to complete the details concerning your gross salary at your employer (/employer 1)? - none -- AND -- What source did you use to complete the details concerning your gross salary at your employer (employer 1)? - none,1,"c(no = 0, yes = 1)",1,categorical
Economic Situation Income,018,ci08a018; ci09b018; ci10c018; ci11d018; ci12e018; ci13f018; ci14g018; ci15h018; ci16i018; ci17j018; ci18k018,11,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",1,What source do you mean with other?,1,NULL,1,response to open-ended question
Economic Situation Income,019,ci08a019; ci09b019; ci10c019; ci11d019; ci12e019; ci13f019; ci14g019; ci15h019; ci16i019; ci17j019; ci18k019,11,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018",11,How much were your gross wages in total in 2007 at your employer (/at the employer at which you earned second-most in 2007 (hereafter referred to as employer 2)? -- AND -- How much were your gross wages in total in 2008 at the employer at which you earned second-most in 2008 (hereafter referred to as employer 2)? -- AND -- How much were your gross wages in total in 2009 at the employer at which you earned second-most in 2009 (hereafter referred to as employer 2)? -- AND -- How much were your gross wages in total in 2010 at the employer at which you earned second-most in 2010 (hereafter referred to as employer 2)? -- AND -- How much were your gross wages in total in 2011 at the employer at which you earned second-most in 2011 (hereafter referred to as employer 2)? -- AND -- How much were your gross wages in total in 2012 at the employer at which you earned second-most in 2012 (hereafter referred to as employer 2)? -- AND -- How much were your gross wages in total in 2013 at the employer at which you earned second-most in 2013 (hereafter referred to as employer 2)? -- AND -- How much were your gross wages in total in 2014 at the employer at which you earned second-most in 2014 (hereafter referred to as employer 2)? -- AND -- How much were your gross wages in total in 2015 at the employer at which you earned second-most in 2015 (hereafter referred to as employer 2)? -- AND -- How much were your gross wages in total in 2016 at the employer at which you earned second-most in 2016 (hereafter referred to as employer 2)? -- AND -- How much were your gross wages in total in 2017 at the employer at which you earned second-most in 2017 (hereafter referred to as employer 2)?,1,NULL,1,numeric
